"","ka","ks","omega"
"54",0,0.013548799347386,0
"55",0,0,NA
"56",0,0.0198381901960002,0
"57",0,0,NA
"58",0,0,NA
"59",0,0.0114493129835603,0
"60",0,0,NA
"61",0.0378188253005641,-3.38802525448129e-05,-1116.24980512001
"62",0,0,NA
"63",0.00946993761639007,0.0230092664964929,0.411570599950829
"64",0.00527115467813558,0.0105891395712407,0.497788762030454
"65",0.00336701609067206,0.00630297540134859,0.534194705876791
"66",0,0,NA
"67",0,0,NA
"68",0.00332227135933426,0,Inf
"69",0.00909115954159527,0,Inf
"70",0,0,NA
"71",0,0,NA
"72",0.021279807209398,0,Inf
"73",0,0.02501153247672,0
"74",0.0079682961314063,0.0406838413262388,0.195858991473039
"75",0,0,NA
"76",0.00699312098736994,0.0109692046521433,0.637523066542797
"77",0,0,NA
"78",0,0,NA
"79",0,0,NA
"80",0,0.145149491479219,0
"81",0.0103096436013678,0,Inf
"82",0.00135992236664583,-5.23791050792645e-06,-259.630699033113
"83",0,0.0101546473600287,0
"84",0.0270336106351379,0,Inf
"85",0,0,NA
"86",0,0,NA
"87",0.0172552672674026,0.0146600691983078,1.17702495356532
"88",0.00751893868227025,0,Inf
"89",0,0.00778240306163061,0
"90",0,0.00666365795543972,0
"91",0.00657904228875549,0,Inf
"92",0,0.016374379209397,0
"93",0.00921685084441898,0,Inf
"94",0,0,NA
"95",0.0185699784314347,0.0244206845576357,0.760420060609169
"96",0,0,NA
"97",0,0.0143015104222408,0
"98",0,0.0456027044848487,0
"99",0,0,NA
"100",0.0111115683923551,0,Inf
"101",0,0.00450024021032976,0
"102",0,0.0205770289823815,0
"103",0,0,NA
"104",0,0,NA
"105",0.00276625878486285,0.00517411151860228,0.53463455028316
"106",0.0112364279260293,0,Inf
"107",0.00738579792439539,0.0330030488046953,0.223791382672034
"108",0,0,NA
"109",0,0.0179817706236605,0
"110",0.00638687581614912,-8.28991432728793e-05,-77.0439302988382
"111",0,0,NA
"112",0.00617596631204026,0.0217252202826555,0.284276349408107
"113",0,0,NA
"114",0.0214822248724442,0.0159515532370958,1.346716808899
"115",0,0.0125026051436654,0
"116",0,0,NA
"117",0,0.00849463701613831,0
"118",0,0.0201072489320207,0
"119",0.00913819768319592,-0.000185088801495222,-49.3719642105512
"120",0.00862090321725309,0.0276715906456295,0.311543464474266
"121",0,0.026604463667046,0
"122",0,0,NA
"123",0,0.0124878421130363,0
"124",0,0.026254991330639,0
"125",0,0,NA
"126",0,0,NA
"127",0,0.0171618125066889,0
"128",0.00575893503644303,0.0163665826625478,0.351871563855625
"129",0.00869587135593462,0,Inf
"130",0.00624644399972918,0.0156479399678742,0.399186347375651
"131",0,0,NA
"132",0,0.00357903582735619,0
"133",0,0,NA
"134",0,0,NA
"135",0,0,NA
"136",0.00628560242664255,0.0140197307392828,0.448339739438113
"137",0,0,NA
"138",0,0,NA
"139",0.00500966990673234,0.0120141590557715,0.416980488062187
"140",0.00312404020420553,0.00709383522062201,0.440388042158612
"141",0,0.0216148252115022,0
"142",0,0.0103571504805016,0
"143",0,0.055290110638498,0
"144",0,0,NA
"145",0,0.00976883025064008,0
"146",0.00271656892875258,0.00679103798901249,0.40002263765095
"147",0.00688961612728678,-0.000110728141299689,-62.2210040412387
"148",0,0.0351210354228472,0
"149",0,0,NA
"150",0,0,NA
"151",0.0118386057957273,0.0250904322393634,0.471837459107388
"152",0,0.0585287751329781,0
"153",0,0.0269763689697702,0
"154",0,0,NA
"155",0,0,NA
"156",0,0,NA
"157",0,0.00935155046124746,0
"158",0,0,NA
"159",0,0.0376581167475456,0
"160",0,0.0175619487752729,0
"161",0,0,NA
"162",0,0,NA
"163",0,0.0193559601462455,0
"164",0,0.0417887996485676,0
"165",0,0,NA
"166",0,0,NA
"167",0,0.0413376309889682,0
"168",0,0,NA
"169",0,0,NA
"170",0.00284091673371543,0,Inf
"171",0,0.0523489854890059,0
"172",0.00288931228692836,0.0277642013818302,0.104066104664521
"173",0,0,NA
"174",0.00260318888360085,0,Inf
"175",0.0240095742339694,-0.000114433085493947,-209.813220803518
"176",0,0.0133387970260086,0
"177",0,0,NA
"178",0.00980423569418817,0.00931193345953356,1.05286788579343
"179",0.00993482590255099,-6.45501708268159e-05,-153.908591957185
"180",0,0,NA
"181",0,0.00727188234090139,0
"182",0.0169507758378407,0.0771106887102991,0.219823945568998
"183",0,0,NA
